side,movie_title,emo_types,n_nrc_categories,nrc_entropy
human,The Clan of the Cave Bear,2,4,1.9219280948873625
ai,The Clan of the Cave Bear,2,2,1.0
human,The Curse of the Jade Scorpion,1,0,0.0
ai,The Curse of the Jade Scorpion,3,4,2.0
human,The Cyclops,8,6,2.4056390622295662
ai,The Cyclops,4,1,-0.0
human,The Daytrippers,2,1,-0.0
ai,The Daytrippers,4,1,-0.0
human,The Dirtwater Dynasty,1,2,1.0
ai,The Dirtwater Dynasty,1,0,0.0
human,The Duchess of Buffalo,1,0,0.0
ai,The Duchess of Buffalo,3,5,2.235926350629033
human,The Family Way,3,4,1.9182958340544891
ai,The Family Way,6,5,2.1556390622295662
human,The Ghost of Greville Lodge,3,0,0.0
ai,The Ghost of Greville Lodge,7,3,1.5
human,The Great Challenge,3,5,2.321928094887362
ai,The Great Challenge,2,1,-0.0
human,The Great Ziegfeld,3,1,-0.0
ai,The Great Ziegfeld,1,0,0.0
human,The Hamster Cage,3,3,1.5
ai,The Hamster Cage,4,5,2.321928094887362
human,The Haunting of Morella,2,0,0.0
ai,The Haunting of Morella,8,7,2.807354922057604
human,The Land of College Prophets,2,3,1.584962500721156
ai,The Land of College Prophets,1,2,1.0
human,The Legend of Hell House,4,5,2.113283334294875
ai,The Legend of Hell House,6,4,1.811278124459133
human,The Legend of the Lone Ranger,2,3,1.584962500721156
ai,The Legend of the Lone Ranger,2,1,-0.0
human,The Lickerish Quartet,3,2,1.0
ai,The Lickerish Quartet,1,0,0.0
human,The Life: What's Your Pleasure?,1,1,-0.0
ai,The Life: What's Your Pleasure?,4,1,-0.0
human,The Little Polar Bear 2: The Mysterious Island,0,0,0.0
ai,The Little Polar Bear 2: The Mysterious Island,2,2,1.0
human,The Lost Angel,5,5,2.155023969395552
ai,The Lost Angel,4,1,-0.0
human,The Lost World: Jurassic Park,2,4,2.0
ai,The Lost World: Jurassic Park,3,1,-0.0
human,The Love Trap,2,3,1.584962500721156
ai,The Love Trap,5,6,2.5
human,The Magical World of Disney: Bride of Boogedy,2,3,1.5
ai,The Magical World of Disney: Bride of Boogedy,5,2,0.9182958340544896
human,The Man Who Knew Too Much,1,0,0.0
ai,The Man Who Knew Too Much,1,1,-0.0
human,The Man with Bogart's Face,0,0,0.0
ai,The Man with Bogart's Face,2,0,0.0
human,The Miracle Worker,7,3,1.5
ai,The Miracle Worker,2,2,1.0
human,The Monster,3,4,2.0
ai,The Monster,1,0,0.0
human,The Moon-Spinners,2,2,1.0
ai,The Moon-Spinners,2,1,-0.0
human,The Muppets Take Manhattan,1,0,0.0
ai,The Muppets Take Manhattan,2,4,2.0
human,The Nutty Professor,4,3,1.584962500721156
ai,The Nutty Professor,6,3,1.521928094887362
human,The Off Season,5,1,-0.0
ai,The Off Season,4,1,-0.0
human,The Pink Panther,1,0,0.0
ai,The Pink Panther,2,4,2.0
human,The Pirate,6,4,1.9182958340544891
ai,The Pirate,4,7,2.725480556997868
human,The Prisoner of Zenda,7,6,2.5566567074628237
ai,The Prisoner of Zenda,3,8,2.9139770731827523
human,The Psychic Parrot,2,5,2.321928094887362
ai,The Psychic Parrot,3,4,2.0
human,The Reckless Moment,4,5,2.321928094887362
ai,The Reckless Moment,2,1,-0.0
human,The Rockville Slayer,3,6,2.584962500721156
ai,The Rockville Slayer,2,4,2.0
human,The Ropes,0,0,0.0
ai,The Ropes,2,4,2.0
human,The Sandlot,2,3,1.584962500721156
ai,The Sandlot,3,2,1.0
human,The Sea Change,1,3,1.584962500721156
ai,The Sea Change,2,1,-0.0
human,The Secret of My Success,1,0,0.0
ai,The Secret of My Success,4,4,2.0
human,The Spanish Prisoner,2,0,0.0
ai,The Spanish Prisoner,3,2,0.9182958340544896
human,The Spoilers,3,1,-0.0
ai,The Spoilers,2,0,0.0
human,The Story of Alfred Nobel,1,0,0.0
ai,The Story of Alfred Nobel,1,0,0.0
human,The Story of Esther Costello,5,3,1.5
ai,The Story of Esther Costello,1,0,0.0
human,The Tree in a Test Tube,2,2,1.0
ai,The Tree in a Test Tube,1,0,0.0
human,The Vigilantes Return,3,4,2.0
ai,The Vigilantes Return,1,1,-0.0
