side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
ai,The Life: What's Your Pleasure?,0.5,0.25,4.505
human,The Little Polar Bear 2: The Mysterious Island,,,
ai,The Little Polar Bear 2: The Mysterious Island,0.0,0.0,4.36
human,The Lost Angel,0.0,0.0833333333333333,4.889166666666666
ai,The Lost Angel,0.0,0.5,4.805
human,The Lost World: Jurassic Park,0.0,0.5,4.65
ai,The Lost World: Jurassic Park,0.3333333333333333,0.3333333333333333,4.516666666666667
human,The Love Trap,0.0,0.0,4.8933333333333335
ai,The Love Trap,0.0,0.2,4.622
human,The Magical World of Disney: Bride of Boogedy,0.0,0.0,4.216666666666666
ai,The Magical World of Disney: Bride of Boogedy,0.0,0.4,4.973999999999999
human,The Man Who Knew Too Much,0.0,0.0,5.82
ai,The Man Who Knew Too Much,0.0,0.0,4.68
human,The Man with Bogart's Face,,,
ai,The Man with Bogart's Face,0.0,0.5,4.57
human,The Miracle Worker,0.2,0.1,4.988
ai,The Miracle Worker,0.0,0.5,4.74
human,The Monster,0.6666666666666666,0.0,3.41
ai,The Monster,0.0,1.0,4.29
human,The Moon-Spinners,0.0,0.0,5.36
ai,The Moon-Spinners,0.0,0.5,4.5600000000000005
human,The Muppets Take Manhattan,0.0,1.0,5.22
ai,The Muppets Take Manhattan,0.0,0.6666666666666666,5.116666666666666
human,The Nutty Professor,0.1,0.0,5.344
ai,The Nutty Professor,0.1666666666666666,0.3333333333333333,4.496666666666666
human,The Off Season,0.2,0.2,4.404999999999999
ai,The Off Season,0.25,0.5,4.49
human,The Pink Panther,0.0,1.0,5.16
ai,The Pink Panther,0.0,0.5,3.99
human,The Pirate,0.0,0.1666666666666666,4.63
ai,The Pirate,0.0,0.25,4.525
human,The Prisoner of Zenda,0.2727272727272727,0.1818181818181818,4.874545454545455
ai,The Prisoner of Zenda,0.0,0.0,4.496666666666667
human,The Psychic Parrot,0.0,0.0,4.42
ai,The Psychic Parrot,0.0,0.6666666666666666,5.303333333333334
human,The Reckless Moment,0.0,0.25,5.215
ai,The Reckless Moment,0.0,0.0,4.33
human,The Rockville Slayer,0.0,0.0,5.16
ai,The Rockville Slayer,0.0,0.5,5.375
human,The Ropes,,,
ai,The Ropes,0.0,0.5,4.99
human,The Sandlot,0.0,0.0,5.57
ai,The Sandlot,0.0,0.3333333333333333,4.763333333333334
human,The Sea Change,0.0,0.0,5.35
ai,The Sea Change,0.0,0.3333333333333333,4.58
human,The Secret of My Success,1.0,0.0,5.44
ai,The Secret of My Success,0.0,0.5,4.46
human,The Spanish Prisoner,0.5,0.5,5.140000000000001
ai,The Spanish Prisoner,0.0,0.0,4.783333333333333
human,The Spoilers,0.0,0.25,5.1825
ai,The Spoilers,0.0,0.5,5.28
human,The Story of Alfred Nobel,0.0,0.0,3.79
ai,The Story of Alfred Nobel,0.0,1.0,4.45
human,The Story of Esther Costello,0.0,0.1666666666666666,4.251666666666666
ai,The Story of Esther Costello,0.0,0.0,4.75
human,The Tree in a Test Tube,0.0,0.0,4.205
ai,The Tree in a Test Tube,0.0,1.0,5.16
human,The Vigilantes Return,0.3333333333333333,0.0,5.203333333333334
ai,The Vigilantes Return,0.0,0.0,4.65
human,The Virgin of Liverpool,1.0,0.0,4.84
ai,The Virgin of Liverpool,0.0,1.0,4.59
human,The Watcher (I),0.25,0.0,4.34
ai,The Watcher (I),0.0,0.0,3.87
human,The Wayward Bus,0.0,0.0,4.453333333333333
ai,The Wayward Bus,0.0,0.0,5.53
